,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
43,,,,,,,,,"tap water production, conventional with biological treatment | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_RS","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MU",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_GR",,,,,,,,,,,,,,,,,,
44,,,,,,,,,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_IN",,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_DO",,"evaporation of natural gas | natural gas, high pressure | Cutoff, S_JP",,,,,,,,,,,,,,,,,,
45,,,,,,,,,"tap water production, conventional with biological treatment | tap water | Cutoff, S_CH",,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PY","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AR",,"petroleum and gas production, on-shore | natural gas, high pressure | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,
46,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-FRCC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TT",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
47,,,,,,,,,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-AH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CU",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_ES",,,,,,,,,,,,,,,,,,
48,,,,,,,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SK","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GA",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_DK",,,,,,,,,,,,,,,,,,
49,,,,,,,,,"tap water production, ultrafiltration treatment | tap water | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RAS","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MD",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_CZ",,,,,,,,,,,,,,,,,,
50,,,,,,,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_CH",,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_ENTSO-E","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_PT",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,,,,,,,
51,,,,,,,,,"tap water production, artificial recharged wells | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_ES","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IR",,"natural gas, high pressure, import from DE | natural gas, high pressure | Cutoff, S_DK",,,,,,,,,,,,,,,,,,
52,,,,,,,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HL","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-NS",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_CA-AB",,,,,,,,,,,,,,,,,,
53,,,,,,,,,"market for tap water | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GX","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AT",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_DE",,,,,,,,,,,,,,,,,,
54,,,,,,,,,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage | tap water | Cutoff, S_GLO",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-UT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SI",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_RU",,,,,,,,,,,,,,,,,,
55,,,,,,,,,"market for tap water | tap water | Cutoff, S_BR",,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CY","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NA",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_BE",,,,,,,,,,,,,,,,,,
56,,,,,,,,,"tap water production, underground water without treatment | tap water | Cutoff, S_CH",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_TZ","treatment of waste plastic, consumer electronics, sanitary landfill, wet infiltration class (500mm) | electricity, medium voltage | Cutoff, S_GLO",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_IT",,,,,,,,,,,,,,,,,,
57,,,,,,,,,"market group for tap water | tap water | Cutoff, S_RER",,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MN","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NI",,"natural gas, high pressure, import from CA-AB | natural gas, high pressure | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,
58,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, CdTe, laminated, integrated | electricity, low voltage | Cutoff, S_RoW","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_FI",,"evaporation of natural gas | natural gas, high pressure | Cutoff, S_RER",,,,,,,,,,,,,,,,,,
59,,,,,,,,,"tap water production, underground water with disinfection | tap water | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_BE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NZ",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_IT",,,,,,,,,,,,,,,,,,
60,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_CH",,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_DK","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TG",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_GB",,,,,,,,,,,,,,,,,,
61,,,,,,,,,"tap water production, underground water with chemical treatment | tap water | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NG","natural gas, burned in gas turbine, for compressor station | electricity, medium voltage | Cutoff, S_DE",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,
62,,,,,,,,,"tap water production, conventional treatment | tap water | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GD","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-QC",,"petroleum and gas production, off-shore | natural gas, high pressure | Cutoff, S_GB",,,,,,,,,,,,,,,,,,
63,,,,,,,,,"tap water production, direct filtration treatment | tap water | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,"electricity, low voltage, photovoltaic, import from Germany | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-WECC",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,,,,,,,
64,,,,,,,,,"tap water production, underground water without treatment | tap water | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-RFC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-ON",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_SE",,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GB","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MX",,"natural gas, high pressure, import from NL | natural gas, high pressure | Cutoff, S_DK",,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PK",,"natural gas production | natural gas, high pressure | Cutoff, S_DZ",,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ZM","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GH",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_BE",,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-GX","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BR-North-eastern grid",,"natural gas production | natural gas, high pressure | Cutoff, S_RU",,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_TW","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_AE",,"petroleum and gas production, on-shore | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_BG","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_UCTE",,"natural gas, high pressure, import from DE | natural gas, high pressure | Cutoff, S_AT",,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_GI","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-NU",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_IT",,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IN-Eastern grid",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_FI",,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, panel, mounted | electricity, low voltage | Cutoff, S_CH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_TT",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_FR",,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TN","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-YK",,"natural gas, high pressure, import from DE | natural gas, high pressure | Cutoff, S_PL",,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SV","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_RO",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_US",,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-MB","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-PE",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_IT",,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GA","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GB",,"natural gas production | natural gas, high pressure | Cutoff, S_DE",,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-PE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-ASCC",,"market group for natural gas, high pressure | natural gas, high pressure | Cutoff, S_CA",,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_UA","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_NL",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_CA-QC",,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-BC","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_PH",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_JP",,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-HR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TN",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_DE",,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CZ","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_TW",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_IT",,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_US-TRE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BH",,"natural gas, high pressure, import from GB | natural gas, high pressure | Cutoff, S_DK",,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_KP","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_BE",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_XK","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BR-Northern grid",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_EE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GR",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_NL",,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BO","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_GB",,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IT","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CN",,"natural gas, high pressure, import from GB | natural gas, high pressure | Cutoff, S_BE",,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_GH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BR-Mid-western grid",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_IE",,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_MK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MN",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_PL",,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BG","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-NPCC",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_FR",,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RLA","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CI",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_GB",,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CM","electricity production, medium voltage, petroleum refinery operation | electricity, medium voltage | Cutoff, S_CO",,"natural gas, high pressure, import from DE | natural gas, high pressure | Cutoff, S_CH",,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HU","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MN",,"natural gas, high pressure, import from NO | natural gas, high pressure | Cutoff, S_PL",,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_LV","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-FRCC",,"natural gas, high pressure, import from DZ | natural gas, high pressure | Cutoff, S_ES",,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_UY","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_LB",,"petroleum and gas production, off-shore | natural gas, high pressure | Cutoff, S_NO",,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_BR-South-eastern grid","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CI",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_GR",,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted | electricity, low voltage | Cutoff, S_CH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SD",,"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations | natural gas, high pressure | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_RO",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_SK",,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IN-Western grid","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-AB",,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, S_AT",,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_BE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_US-RFC",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_BE",,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future | electricity, low voltage | Cutoff, S_CH","market group for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IN",,"natural gas, high pressure, import from RU | natural gas, high pressure | Cutoff, S_HU",,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_MT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_ES",,"natural gas production | natural gas, high pressure | Cutoff, S_CA-AB",,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-CT","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IT",,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_ET","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GR",,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SD","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CN-CSG",,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-AB","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_NO",,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_Europe without Switzerland","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SS",,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_RS","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CA-PE",,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,"biomethane, low pressure burned in micro gas turbine 100kWe | electricity, low voltage | Cutoff, S_CH","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IE",,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IN-Southern grid","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GI",,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_MY",,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NZ","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_US-MRO",,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-MB","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SA",,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_LT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IE",,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-QH","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SK",,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NI","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CU",,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SY","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_GB",,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PL","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_AU",,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_RU","natural gas, burned in gas turbine, for compressor station | electricity, medium voltage | Cutoff, S_NO",,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-OR","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_BR-Southern grid",,,,,,,,,,,,,,,,,,,,
